version,2.1.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2016/17
info,date,2016/11/17
info,date,2016/11/18
info,date,2016/11/19
info,date,2016/11/20
info,event,Pakistan in New Zealand Test Series
info,match_number,1
info,venue,Hagley Oval
info,city,Christchurch
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,C de Grandhomme
info,umpire,IJ Gould
info,umpire,S Ravi
info,reserve_umpire,SB Haig
info,tv_umpire,SD Fry
info,match_referee,RB Richardson
info,winner,New Zealand
info,winner_wickets,8
info,player,New Zealand,TWM Latham
info,player,New Zealand,JA Raval
info,player,New Zealand,KS Williamson
info,player,New Zealand,LRPL Taylor
info,player,New Zealand,HM Nicholls
info,player,New Zealand,C de Grandhomme
info,player,New Zealand,BJ Watling
info,player,New Zealand,TD Astle
info,player,New Zealand,TG Southee
info,player,New Zealand,N Wagner
info,player,New Zealand,TA Boult
info,player,Pakistan,Sami Aslam
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Babar Azam
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Sohail Khan
info,player,Pakistan,Yasir Shah
info,player,Pakistan,Rahat Ali
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BJ Watling,928670cc
info,registry,people,Babar Azam,8a75e999
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,HM Nicholls,03521fd3
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,JA Raval,5f966ec0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,N Wagner,78adc879
info,registry,people,RB Richardson,410e2f12
info,registry,people,Rahat Ali,a63775d6
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SB Haig,811655b3
info,registry,people,SD Fry,6b725ed1
info,registry,people,Sami Aslam,96a2336e
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Sohail Khan,5af743d0
info,registry,people,TA Boult,a818c1be
info,registry,people,TD Astle,383dd431
info,registry,people,TG Southee,13c35c9e
info,registry,people,TWM Latham,e824e6ee
info,registry,people,Yasir Shah,f2800ef3
info,registry,people,Younis Khan,33cb3411
