version,2.1.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2016/17
info,date,2016/11/25
info,date,2016/11/26
info,date,2016/11/27
info,date,2016/11/28
info,date,2016/11/29
info,event,Pakistan in New Zealand Test Series
info,match_number,2
info,venue,Seddon Park
info,city,Hamilton
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,TG Southee
info,umpire,SD Fry
info,umpire,S Ravi
info,reserve_umpire,SB Haig
info,tv_umpire,IJ Gould
info,match_referee,RB Richardson
info,winner,New Zealand
info,winner_runs,138
info,player,New Zealand,JA Raval
info,player,New Zealand,TWM Latham
info,player,New Zealand,KS Williamson
info,player,New Zealand,LRPL Taylor
info,player,New Zealand,HM Nicholls
info,player,New Zealand,C de Grandhomme
info,player,New Zealand,BJ Watling
info,player,New Zealand,MJ Santner
info,player,New Zealand,TG Southee
info,player,New Zealand,MJ Henry
info,player,New Zealand,N Wagner
info,player,Pakistan,Sami Aslam
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Babar Azam
info,player,Pakistan,Younis Khan
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Sohail Khan
info,player,Pakistan,Wahab Riaz
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Imran Khan (2)
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BJ Watling,928670cc
info,registry,people,Babar Azam,8a75e999
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,HM Nicholls,03521fd3
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,Imran Khan (2),2b0f2af3
info,registry,people,JA Raval,5f966ec0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,N Wagner,78adc879
info,registry,people,RB Richardson,410e2f12
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SB Haig,811655b3
info,registry,people,SD Fry,6b725ed1
info,registry,people,Sami Aslam,96a2336e
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Sohail Khan,5af743d0
info,registry,people,TG Southee,13c35c9e
info,registry,people,TWM Latham,e824e6ee
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Younis Khan,33cb3411
