version,2.1.0
info,balls_per_over,6
info,team,England
info,team,South Africa
info,gender,male
info,season,2017
info,date,2017/07/06
info,date,2017/07/07
info,date,2017/07/08
info,date,2017/07/09
info,event,Basil D'Oliveira Trophy
info,match_number,1
info,venue,Lord's
info,city,London
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,MM Ali
info,umpire,S Ravi
info,umpire,PR Reiffel
info,reserve_umpire,RT Robinson
info,tv_umpire,SD Fry
info,match_referee,JJ Crowe
info,winner,England
info,winner_runs,211
info,player,England,AN Cook
info,player,England,KK Jennings
info,player,England,GS Ballance
info,player,England,JE Root
info,player,England,JM Bairstow
info,player,England,BA Stokes
info,player,England,MM Ali
info,player,England,LA Dawson
info,player,England,SCJ Broad
info,player,England,MA Wood
info,player,England,JM Anderson
info,player,South Africa,D Elgar
info,player,South Africa,HG Kuhn
info,player,South Africa,HM Amla
info,player,South Africa,JP Duminy
info,player,South Africa,T Bavuma
info,player,South Africa,TB de Bruyn
info,player,South Africa,K Rabada
info,player,South Africa,Q de Kock
info,player,South Africa,VD Philander
info,player,South Africa,KA Maharaj
info,player,South Africa,M Morkel
info,registry,people,AN Cook,f41598c1
info,registry,people,BA Stokes,e087956b
info,registry,people,D Elgar,33085ffb
info,registry,people,GS Ballance,755a77c6
info,registry,people,HG Kuhn,ede05b97
info,registry,people,HM Amla,e798611a
info,registry,people,JE Root,a343262c
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JP Duminy,2e8994e7
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KK Jennings,8479a24a
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Morkel,5bb5a915
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,PR Reiffel,c9354f29
info,registry,people,Q de Kock,372455c4
info,registry,people,RT Robinson,b143c87d
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SD Fry,6b725ed1
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,TB de Bruyn,90d6cdea
info,registry,people,VD Philander,cfe70281
