version,2.1.0
info,balls_per_over,6
info,team,England
info,team,West Indies
info,gender,male
info,season,2017
info,date,2017/08/25
info,date,2017/08/26
info,date,2017/08/27
info,date,2017/08/28
info,date,2017/08/29
info,event,West Indies tour of England
info,match_number,2
info,venue,Headingley
info,city,Leeds
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,SD Hope
info,umpire,CB Gaffaney
info,umpire,S Ravi
info,reserve_umpire,NGB Cook
info,tv_umpire,M Erasmus
info,match_referee,DC Boon
info,winner,West Indies
info,winner_wickets,5
info,player,England,AN Cook
info,player,England,MD Stoneman
info,player,England,T Westley
info,player,England,JE Root
info,player,England,DJ Malan
info,player,England,BA Stokes
info,player,England,JM Bairstow
info,player,England,MM Ali
info,player,England,CR Woakes
info,player,England,SCJ Broad
info,player,England,JM Anderson
info,player,West Indies,KC Brathwaite
info,player,West Indies,KOA Powell
info,player,West Indies,KA Hope
info,player,West Indies,SD Hope
info,player,West Indies,RL Chase
info,player,West Indies,J Blackwood
info,player,West Indies,SO Dowrich
info,player,West Indies,JO Holder
info,player,West Indies,KAJ Roach
info,player,West Indies,D Bishoo
info,player,West Indies,ST Gabriel
info,registry,people,AN Cook,f41598c1
info,registry,people,BA Stokes,e087956b
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CR Woakes,4c5d73db
info,registry,people,D Bishoo,7a80ddf2
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,J Blackwood,c3b93a03
info,registry,people,JE Root,a343262c
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JO Holder,0f721006
info,registry,people,KA Hope,c59d8f8a
info,registry,people,KAJ Roach,78eb4223
info,registry,people,KC Brathwaite,7d5af2ea
info,registry,people,KOA Powell,e012ad13
info,registry,people,M Erasmus,15d3c895
info,registry,people,MD Stoneman,1b77f62b
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Crane,f0a0204e
info,registry,people,NGB Cook,772fe461
info,registry,people,RL Chase,3feda4fa
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SO Dowrich,dc2f959a
info,registry,people,ST Gabriel,d9609443
info,registry,people,T Westley,25a42048
