version,2.1.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2016/17
info,date,2016/11/17
info,date,2016/11/18
info,date,2016/11/19
info,date,2016/11/20
info,date,2016/11/21
info,event,England in India Test Series
info,match_number,2
info,venue,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
info,city,Visakhapatnam
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,V Kohli
info,umpire,HDPK Dharmasena
info,umpire,RJ Tucker
info,reserve_umpire,CK Nandan
info,tv_umpire,CB Gaffaney
info,match_referee,RS Madugalle
info,winner,India
info,winner_runs,246
info,player,England,AN Cook
info,player,England,H Hameed
info,player,England,JE Root
info,player,England,BM Duckett
info,player,England,MM Ali
info,player,England,BA Stokes
info,player,England,JM Bairstow
info,player,England,AU Rashid
info,player,England,ZS Ansari
info,player,England,SCJ Broad
info,player,England,JM Anderson
info,player,India,M Vijay
info,player,India,KL Rahul
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,AM Rahane
info,player,India,R Ashwin
info,player,India,WP Saha
info,player,India,RA Jadeja
info,player,India,J Yadav
info,player,India,UT Yadav
info,player,India,Mohammed Shami
info,registry,people,AM Rahane,29e95537
info,registry,people,AN Cook,f41598c1
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Stokes,e087956b
info,registry,people,BM Duckett,5f26f677
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CK Nandan,012de9c4
info,registry,people,H Hameed,fe0c5457
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,J Yadav,81049310
info,registry,people,JE Root,a343262c
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KL Rahul,b17e2f24
info,registry,people,M Vijay,4b57e452
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RS Madugalle,766b5798
info,registry,people,SCJ Broad,eba6a852
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,WP Saha,fe11caa6
info,registry,people,ZS Ansari,7b1e20ea
