version,2.1.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2018
info,date,2018/08/09
info,date,2018/08/10
info,date,2018/08/11
info,date,2018/08/12
info,event,India tour of Ireland and England
info,match_number,2
info,venue,Lord's
info,city,London
info,toss_winner,England
info,toss_decision,field
info,player_of_match,CR Woakes
info,umpire,Aleem Dar
info,umpire,M Erasmus
info,reserve_umpire,AG Wharf
info,tv_umpire,CB Gaffaney
info,match_referee,JJ Crowe
info,winner,England
info,winner_innings,1
info,winner_runs,159
info,player,India,M Vijay
info,player,India,KL Rahul
info,player,India,CA Pujara
info,player,India,AM Rahane
info,player,India,V Kohli
info,player,India,HH Pandya
info,player,India,KD Karthik
info,player,India,R Ashwin
info,player,India,Kuldeep Yadav
info,player,India,Mohammed Shami
info,player,India,I Sharma
info,player,England,AN Cook
info,player,England,KK Jennings
info,player,England,JE Root
info,player,England,OJ Pope
info,player,England,JM Bairstow
info,player,England,JC Buttler
info,player,England,CR Woakes
info,player,England,SM Curran
info,player,England,AU Rashid
info,player,England,SCJ Broad
info,player,England,JM Anderson
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AM Rahane,29e95537
info,registry,people,AN Cook,f41598c1
info,registry,people,AU Rashid,249d60c9
info,registry,people,Aleem Dar,f02778d1
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CR Woakes,4c5d73db
info,registry,people,HH Pandya,dbe50b21
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KD Karthik,c03f1114
info,registry,people,KK Jennings,8479a24a
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Vijay,4b57e452
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,OJ Pope,e94bc520
info,registry,people,R Ashwin,495d42a5
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SM Curran,e94915e6
info,registry,people,V Kohli,ba607b88
