version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Pakistan
info,gender,male
info,season,2017/18
info,date,2017/10/06
info,date,2017/10/07
info,date,2017/10/08
info,date,2017/10/09
info,date,2017/10/10
info,event,Sri Lanka tour of United Arab Emirates and Pakistan
info,match_number,2
info,venue,Dubai International Cricket Stadium
info,city,
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,FDM Karunaratne
info,umpire,RA Kettleborough
info,umpire,NJ Llong
info,reserve_umpire,Shozab Raza
info,tv_umpire,S Ravi
info,match_referee,AJ Pycroft
info,winner,Sri Lanka
info,winner_runs,68
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,JK Silva
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,N Dickwella
info,player,Sri Lanka,MDK Perera
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,PLS Gamage
info,player,Sri Lanka,N Pradeep
info,player,Pakistan,Shan Masood
info,player,Pakistan,Sami Aslam
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Haris Sohail
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Babar Azam
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Yasir Shah
info,player,Pakistan,Wahab Riaz
info,player,Pakistan,Mohammad Abbas
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,Babar Azam,8a75e999
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,Haris Sohail,7cd0a092
info,registry,people,JK Silva,52f7299a
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,MDK Perera,5531248e
info,registry,people,Mohammad Abbas,a089f93f
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,N Dickwella,45963d9e
info,registry,people,N Pradeep,2af838ee
info,registry,people,NJ Llong,573fb985
info,registry,people,PLS Gamage,08bae9d5
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,S Ravi,9b9ee0df
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,Sami Aslam,96a2336e
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Shan Masood,6843a783
info,registry,people,Shozab Raza,153c67dc
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Yasir Shah,f2800ef3
