version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,India
info,gender,male
info,season,2017/18
info,date,2017/11/24
info,date,2017/11/25
info,date,2017/11/26
info,date,2017/11/27
info,event,Sri Lanka tour of India
info,match_number,2
info,venue,"Vidarbha Cricket Association Stadium, Jamtha"
info,city,Nagpur
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,V Kohli
info,umpire,RA Kettleborough
info,umpire,JS Wilson
info,reserve_umpire,C Shamshuddin
info,tv_umpire,NJ Llong
info,match_referee,DC Boon
info,winner,India
info,winner_innings,1
info,winner_runs,239
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,N Dickwella
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,MDK Perera
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,PLS Gamage
info,player,India,KL Rahul
info,player,India,M Vijay
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,AM Rahane
info,player,India,RG Sharma
info,player,India,R Ashwin
info,player,India,WP Saha
info,player,India,RA Jadeja
info,player,India,UT Yadav
info,player,India,I Sharma
info,registry,people,AD Mathews,896d78ad
info,registry,people,AM Rahane,29e95537
info,registry,people,C Shamshuddin,0f9d921b
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,DC Boon,e79a1fe3
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,KL Rahul,b17e2f24
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,M Vijay,4b57e452
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MDK Perera,5531248e
info,registry,people,N Dickwella,45963d9e
info,registry,people,NJ Llong,573fb985
info,registry,people,PLS Gamage,08bae9d5
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,RG Sharma,740742ef
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,WP Saha,fe11caa6
