version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Sri Lanka
info,gender,male
info,season,2018/19
info,date,2018/11/14
info,date,2018/11/15
info,date,2018/11/16
info,date,2018/11/17
info,date,2018/11/18
info,event,England tour of Sri Lanka
info,match_number,2
info,venue,Pallekele International Cricket Stadium
info,city,
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,JE Root
info,umpire,M Erasmus
info,umpire,S Ravi
info,reserve_umpire,REJ Martinesz
info,tv_umpire,CB Gaffaney
info,match_referee,AJ Pycroft
info,winner,England
info,winner_runs,57
info,player,England,MJ Leach
info,player,England,RJ Burns
info,player,England,KK Jennings
info,player,England,JE Root
info,player,England,BA Stokes
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,BT Foakes
info,player,England,SM Curran
info,player,England,AU Rashid
info,player,England,JM Anderson
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,JK Silva
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,ARS Silva
info,player,Sri Lanka,N Dickwella
info,player,Sri Lanka,MDK Perera
info,player,Sri Lanka,A Dananjaya
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,PM Pushpakumara
info,registry,people,A Dananjaya,5b16a806
info,registry,people,AD Mathews,896d78ad
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,ARS Silva,198798b2
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Stokes,e087956b
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,BT Foakes,fd770945
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DM de Silva,7d608e12
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JK Silva,52f7299a
info,registry,people,JM Anderson,d12143bf
info,registry,people,KK Jennings,8479a24a
info,registry,people,M Erasmus,15d3c895
info,registry,people,MDK Perera,5531248e
info,registry,people,MJ Leach,3987e390
info,registry,people,MM Ali,bb351c23
info,registry,people,N Dickwella,45963d9e
info,registry,people,PM Pushpakumara,b529630e
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RJ Burns,29e8a62e
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SM Curran,e94915e6
