version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,West Indies
info,gender,male
info,season,2018/19
info,date,2018/11/30
info,date,2018/12/01
info,date,2018/12/02
info,event,West Indies tour of Bangladesh
info,match_number,2
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Mehedi Hasan Miraz
info,umpire,Aleem Dar
info,umpire,RSA Palliyaguruge
info,reserve_umpire,Sharfuddoula
info,tv_umpire,RK Illingworth
info,match_referee,AJ Pycroft
info,winner,Bangladesh
info,winner_innings,1
info,winner_runs,184
info,player,Bangladesh,Shadman Islam
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Mominul Haque
info,player,Bangladesh,Mohammad Mithun
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Taijul Islam
info,player,Bangladesh,Nayeem Hasan
info,player,West Indies,KC Brathwaite
info,player,West Indies,KOA Powell
info,player,West Indies,SD Hope
info,player,West Indies,SW Ambris
info,player,West Indies,RL Chase
info,player,West Indies,SO Hetmyer
info,player,West Indies,SO Dowrich
info,player,West Indies,D Bishoo
info,player,West Indies,KAJ Roach
info,player,West Indies,JA Warrican
info,player,West Indies,SH Lewis
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Aleem Dar,f02778d1
info,registry,people,D Bishoo,7a80ddf2
info,registry,people,JA Warrican,cc23e91e
info,registry,people,KAJ Roach,78eb4223
info,registry,people,KC Brathwaite,7d5af2ea
info,registry,people,KOA Powell,e012ad13
info,registry,people,Liton Das,0404d43c
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Mithun,77191792
info,registry,people,Mominul Haque,de0a3209
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Nayeem Hasan,1670dcfd
info,registry,people,RK Illingworth,20672246
info,registry,people,RL Chase,3feda4fa
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SH Lewis,210f4a5d
info,registry,people,SO Dowrich,dc2f959a
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SW Ambris,c7f6dd3b
info,registry,people,Shadman Islam,246d11a2
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Taijul Islam,9d1d34bd
