version,2.2.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2021
info,date,2021/08/12
info,date,2021/08/13
info,date,2021/08/14
info,date,2021/08/15
info,date,2021/08/16
info,event,India tour of England
info,match_number,2
info,venue,"Lord's, London"
info,city,London
info,toss_winner,England
info,toss_decision,field
info,player_of_match,KL Rahul
info,umpire,MA Gough
info,umpire,RK Illingworth
info,reserve_umpire,AG Wharf
info,tv_umpire,RA Kettleborough
info,match_referee,BC Broad
info,winner,India
info,winner_runs,151
info,player,India,RG Sharma
info,player,India,KL Rahul
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,AM Rahane
info,player,India,RR Pant
info,player,India,RA Jadeja
info,player,India,Mohammed Shami
info,player,India,I Sharma
info,player,India,JJ Bumrah
info,player,India,Mohammed Siraj
info,player,England,RJ Burns
info,player,England,DP Sibley
info,player,England,H Hameed
info,player,England,JE Root
info,player,England,JM Bairstow
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,SM Curran
info,player,England,OE Robinson
info,player,England,MA Wood
info,player,England,JM Anderson
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AM Rahane,29e95537
info,registry,people,BC Broad,d6a7dd38
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,DP Sibley,97e434a6
info,registry,people,H Hameed,fe0c5457
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KL Rahul,b17e2f24
info,registry,people,MA Gough,76752ac8
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,OE Robinson,0f3ee070
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Burns,29e8a62e
info,registry,people,RK Illingworth,20672246
info,registry,people,RR Pant,919a3be2
info,registry,people,SM Curran,e94915e6
info,registry,people,V Kohli,ba607b88
