version,2.2.0
info,balls_per_over,6
info,team,Australia
info,team,England
info,gender,male
info,season,2021/22
info,date,2022/01/05
info,date,2022/01/06
info,date,2022/01/07
info,date,2022/01/08
info,date,2022/01/09
info,event,The Ashes
info,match_number,4
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,UT Khawaja
info,umpire,PR Reiffel
info,umpire,RJ Tucker
info,reserve_umpire,SAJ Craig
info,tv_umpire,P Wilson
info,match_referee,SR Bernard
info,outcome,draw
info,player,Australia,DA Warner
info,player,Australia,MS Harris
info,player,Australia,M Labuschagne
info,player,Australia,SPD Smith
info,player,Australia,UT Khawaja
info,player,Australia,C Green
info,player,Australia,AT Carey
info,player,Australia,PJ Cummins
info,player,Australia,MA Starc
info,player,Australia,NM Lyon
info,player,Australia,SM Boland
info,player,England,H Hameed
info,player,England,Z Crawley
info,player,England,DJ Malan
info,player,England,JE Root
info,player,England,BA Stokes
info,player,England,JM Bairstow
info,player,England,JC Buttler
info,player,England,MA Wood
info,player,England,MJ Leach
info,player,England,SCJ Broad
info,player,England,JM Anderson
info,registry,people,AT Carey,69d03465
info,registry,people,BA Stokes,e087956b
info,registry,people,C Green,eaa76d3c
info,registry,people,DA Warner,dcce6f09
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,H Hameed,fe0c5457
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MA Starc,3fb19989
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MJ Leach,3987e390
info,registry,people,MS Harris,9e85455c
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,OJ Pope,e94bc520
info,registry,people,P Wilson,68304a36
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PR Reiffel,c9354f29
info,registry,people,RJ Tucker,38810cfc
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SM Boland,d167edd3
info,registry,people,SPD Smith,30a45b23
info,registry,people,SR Bernard,800187dc
info,registry,people,UT Khawaja,331ea488
info,registry,people,Z Crawley,922e1b19
