version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Pakistan
info,gender,male
info,season,2021/22
info,date,2021/11/26
info,date,2021/11/27
info,date,2021/11/28
info,date,2021/11/29
info,date,2021/11/30
info,event,Pakistan tour of Bangladesh
info,match_number,1
info,venue,"Zahur Ahmed Chowdhury Stadium, Chattogram"
info,city,Chattogram
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Abid Ali
info,umpire,MA Gough
info,umpire,Sharfuddoula
info,reserve_umpire,Tanvir Ahmed
info,tv_umpire,Gazi Sohel
info,match_referee,Neeyamur Rashid
info,winner,Pakistan
info,winner_wickets,8
info,player,Bangladesh,Nurul Hasan
info,player,Bangladesh,Shadman Islam
info,player,Bangladesh,Saif Hassan
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Mominul Haque
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Yasir Ali Chowdhury
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Taijul Islam
info,player,Bangladesh,Abu Jayed
info,player,Bangladesh,Ebadat Hossain
info,player,Pakistan,Abid Ali
info,player,Pakistan,Abdullah Shafique
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fawad Alam
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Hasan Ali
info,player,Pakistan,Sajid Khan
info,player,Pakistan,Nauman Ali
info,player,Pakistan,Shaheen Shah Afridi
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Abid Ali,5d836a72
info,registry,people,Abu Jayed,1bb0993e
info,registry,people,Azhar Ali,211de69f
info,registry,people,Babar Azam,8a75e999
info,registry,people,Ebadat Hossain,cb5100f1
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Fawad Alam,61f05b05
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Hasan Ali,2911de16
info,registry,people,Liton Das,0404d43c
info,registry,people,MA Gough,76752ac8
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mominul Haque,de0a3209
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Nauman Ali,54c58a5e
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Nurul Hasan,d365d463
info,registry,people,Saif Hassan,bb95564b
info,registry,people,Sajid Khan,bbc192a4
info,registry,people,Shadman Islam,246d11a2
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Taijul Islam,9d1d34bd
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Yasir Ali Chowdhury,5791b840
