version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Pakistan
info,gender,male
info,season,2006
info,date,2006/08/17
info,date,2006/08/18
info,date,2006/08/19
info,date,2006/08/20
info,date,2006/08/21
info,event,Pakistan tour of England and Scotland
info,match_number,4
info,venue,Kennington Oval
info,city,London
info,toss_winner,Pakistan
info,toss_decision,field
info,umpire,DB Hair
info,umpire,BR Doctrove
info,reserve_umpire,TE Jesty
info,tv_umpire,PJ Hartley
info,match_referee,MJ Procter
info,winner,England
info,method,Awarded
info,player,England,ME Trescothick
info,player,England,AJ Strauss
info,player,England,AN Cook
info,player,England,KP Pietersen
info,player,England,PD Collingwood
info,player,England,IR Bell
info,player,England,CMW Read
info,player,England,SI Mahmood
info,player,England,MJ Hoggard
info,player,England,SJ Harmison
info,player,England,MS Panesar
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Imran Farhat
info,player,Pakistan,Younis Khan
info,player,Pakistan,Mohammad Yousuf
info,player,Pakistan,Inzamam-ul-Haq
info,player,Pakistan,Faisal Iqbal
info,player,Pakistan,Kamran Akmal
info,player,Pakistan,Shahid Nazir
info,player,Pakistan,Umar Gul
info,player,Pakistan,Danish Kaneria
info,player,Pakistan,Mohammad Asif
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,AN Cook,f41598c1
info,registry,people,BR Doctrove,cbebf805
info,registry,people,CMW Read,be4cefab
info,registry,people,DB Hair,492e1a8e
info,registry,people,Danish Kaneria,0be1b885
info,registry,people,Faisal Iqbal,267269e1
info,registry,people,IR Bell,33155d1b
info,registry,people,Imran Farhat,480ed517
info,registry,people,Inzamam-ul-Haq,b9a3d8c6
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,Kamran Akmal,ff077124
info,registry,people,ME Trescothick,ea42ddb9
info,registry,people,MJ Hoggard,dc0f5506
info,registry,people,MJ Procter,32e65048
info,registry,people,MS Panesar,5a37ec26
info,registry,people,Mohammad Asif,e03b66ec
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Yousuf,e237b28c
info,registry,people,PD Collingwood,a386e91b
info,registry,people,PJ Hartley,17c7ff26
info,registry,people,SI Mahmood,e97aefe2
info,registry,people,SJ Harmison,c16d2e28
info,registry,people,Shahid Nazir,53fa8a73
info,registry,people,TE Jesty,a6e8a769
info,registry,people,Umar Gul,16dfcc19
info,registry,people,Younis Khan,33cb3411
