version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,Australia
info,gender,male
info,season,2005/06
info,date,2006/03/31
info,date,2006/04/01
info,date,2006/04/02
info,date,2006/04/03
info,date,2006/04/04
info,event,Australia tour of South Africa
info,match_number,3
info,venue,The Wanderers Stadium
info,city,Johannesburg
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,B Lee
info,umpire,SA Bucknor
info,umpire,AL Hill
info,tv_umpire,KH Hurter
info,match_referee,BC Broad
info,winner,Australia
info,winner_wickets,2
info,player,South Africa,AB de Villiers
info,player,South Africa,HH Gibbs
info,player,South Africa,HH Dippenaar
info,player,South Africa,JH Kallis
info,player,South Africa,AG Prince
info,player,South Africa,SM Pollock
info,player,South Africa,JA Rudolph
info,player,South Africa,MV Boucher
info,player,South Africa,N Boje
info,player,South Africa,A Nel
info,player,South Africa,M Ntini
info,player,Australia,ML Hayden
info,player,Australia,MEK Hussey
info,player,Australia,RT Ponting
info,player,Australia,DR Martyn
info,player,Australia,A Symonds
info,player,Australia,AC Gilchrist
info,player,Australia,SK Warne
info,player,Australia,B Lee
info,player,Australia,SR Clark
info,player,Australia,MS Kasprowicz
info,player,Australia,JL Langer
info,registry,people,A Nel,2503e881
info,registry,people,A Symonds,bd77eb62
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AC Gilchrist,2b6e6dec
info,registry,people,AG Prince,035cb925
info,registry,people,AL Hill,4165ced0
info,registry,people,B Lee,dd09ff8e
info,registry,people,BC Broad,d6a7dd38
info,registry,people,DR Martyn,69762509
info,registry,people,HH Dippenaar,98ecf62a
info,registry,people,HH Gibbs,e1d1b294
info,registry,people,JA Rudolph,42537f07
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,JL Langer,94198ef4
info,registry,people,KH Hurter,bda8cca8
info,registry,people,M Ntini,20a941bb
info,registry,people,MEK Hussey,48fd7349
info,registry,people,ML Hayden,d8699ab7
info,registry,people,MS Kasprowicz,8d0ea930
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,N Boje,6a0537aa
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SA Bucknor,2ad22b51
info,registry,people,SK Warne,bb18be76
info,registry,people,SM Pollock,88fccd6c
info,registry,people,SR Clark,a3bfec5d
