version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,West Indies
info,gender,male
info,season,2006/07
info,date,2006/11/19
info,date,2006/11/20
info,date,2006/11/21
info,date,2006/11/22
info,date,2006/11/23
info,event,West Indies tour of Pakistan
info,match_number,2
info,venue,Multan Cricket Stadium
info,city,
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Mohammad Yousuf
info,umpire,MR Benson
info,umpire,DJ Harper
info,reserve_umpire,Siddiq Khan
info,tv_umpire,Zameer Haider
info,match_referee,RS Mahanama
info,outcome,draw
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Imran Farhat
info,player,Pakistan,Younis Khan
info,player,Pakistan,Mohammad Yousuf
info,player,Pakistan,Inzamam-ul-Haq
info,player,Pakistan,Shoaib Malik
info,player,Pakistan,Abdul Razzaq
info,player,Pakistan,Kamran Akmal
info,player,Pakistan,Umar Gul
info,player,Pakistan,Shahid Nazir
info,player,Pakistan,Danish Kaneria
info,player,West Indies,CH Gayle
info,player,West Indies,D Ganga
info,player,West Indies,BC Lara
info,player,West Indies,RS Morton
info,player,West Indies,S Chanderpaul
info,player,West Indies,DJ Bravo
info,player,West Indies,D Ramdin
info,player,West Indies,D Mohammed
info,player,West Indies,DBL Powell
info,player,West Indies,JE Taylor
info,player,West Indies,CD Collymore
info,registry,people,Abdul Razzaq,390ff45b
info,registry,people,BC Lara,d5403021
info,registry,people,CD Collymore,87b177e8
info,registry,people,CH Gayle,db584dad
info,registry,people,D Ganga,d5f3b5e1
info,registry,people,D Mohammed,77079be1
info,registry,people,D Ramdin,d1523761
info,registry,people,DBL Powell,83904270
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJ Harper,0ec08b27
info,registry,people,Danish Kaneria,0be1b885
info,registry,people,Imran Farhat,480ed517
info,registry,people,Inzamam-ul-Haq,b9a3d8c6
info,registry,people,JE Taylor,4180d897
info,registry,people,Kamran Akmal,ff077124
info,registry,people,MR Benson,790e14d3
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Yousuf,e237b28c
info,registry,people,RS Mahanama,57910393
info,registry,people,RS Morton,2f8a9682
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,Shahid Nazir,53fa8a73
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Siddiq Khan,9e84ba17
info,registry,people,Umar Gul,16dfcc19
info,registry,people,Younis Khan,33cb3411
info,registry,people,Zameer Haider,5537565f
