version,2.1.0
info,balls_per_over,6
info,team,England
info,team,New Zealand
info,gender,male
info,season,2008
info,date,2008/05/15
info,date,2008/05/16
info,date,2008/05/17
info,date,2008/05/18
info,date,2008/05/19
info,event,New Zealand in England Test Series
info,match_number,1
info,venue,Lord's
info,city,London
info,toss_winner,England
info,toss_decision,field
info,player_of_match,DL Vettori
info,umpire,SA Bucknor
info,umpire,SJA Taufel
info,reserve_umpire,JW Lloyds
info,tv_umpire,NJ Llong
info,match_referee,RS Madugalle
info,outcome,draw
info,player,England,AJ Strauss
info,player,England,AN Cook
info,player,England,MP Vaughan
info,player,England,KP Pietersen
info,player,England,IR Bell
info,player,England,PD Collingwood
info,player,England,TR Ambrose
info,player,England,SCJ Broad
info,player,England,RJ Sidebottom
info,player,England,MS Panesar
info,player,England,JM Anderson
info,player,New Zealand,JM How
info,player,New Zealand,AJ Redmond
info,player,New Zealand,JAH Marshall
info,player,New Zealand,LRPL Taylor
info,player,New Zealand,BB McCullum
info,player,New Zealand,DR Flynn
info,player,New Zealand,JDP Oram
info,player,New Zealand,DL Vettori
info,player,New Zealand,KD Mills
info,player,New Zealand,TG Southee
info,player,New Zealand,CS Martin
info,registry,people,AJ Redmond,48f177f5
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,AN Cook,f41598c1
info,registry,people,BB McCullum,b8a55852
info,registry,people,CS Martin,05e0fab5
info,registry,people,DL Vettori,d7c6af50
info,registry,people,DR Flynn,9d710afe
info,registry,people,IR Bell,33155d1b
info,registry,people,JAH Marshall,fdac5295
info,registry,people,JDP Oram,3eac9d95
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM How,fd8f11e9
info,registry,people,JW Lloyds,112b8472
info,registry,people,KD Mills,7fb32e5b
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,MP Vaughan,6e1b1ec0
info,registry,people,MS Panesar,5a37ec26
info,registry,people,NJ Llong,573fb985
info,registry,people,PD Collingwood,a386e91b
info,registry,people,RJ Sidebottom,9dca07d7
info,registry,people,RS Madugalle,766b5798
info,registry,people,SA Bucknor,2ad22b51
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,TG Southee,13c35c9e
info,registry,people,TR Ambrose,a15aaa7f
