version,2.1.0
info,balls_per_over,6
info,team,West Indies
info,team,Australia
info,gender,male
info,season,2008
info,date,2008/05/22
info,date,2008/05/23
info,date,2008/05/24
info,date,2008/05/25
info,date,2008/05/26
info,event,The Frank Worrell Trophy
info,match_number,1
info,venue,"Sabina Park, Kingston"
info,city,Jamaica
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,SR Clark
info,umpire,Aleem Dar
info,umpire,RB Tiffin
info,reserve_umpire,CE Mack
info,tv_umpire,NA Malcolm
info,match_referee,RS Mahanama
info,winner,Australia
info,winner_runs,95
info,player,Australia,PA Jaques
info,player,Australia,SM Katich
info,player,Australia,RT Ponting
info,player,Australia,MEK Hussey
info,player,Australia,BJ Hodge
info,player,Australia,MG Johnson
info,player,Australia,A Symonds
info,player,Australia,BJ Haddin
info,player,Australia,B Lee
info,player,Australia,SR Clark
info,player,Australia,SCG MacGill
info,player,West Indies,DS Smith
info,player,West Indies,BA Parchment
info,player,West Indies,RR Sarwan
info,player,West Indies,RS Morton
info,player,West Indies,S Chanderpaul
info,player,West Indies,DJ Bravo
info,player,West Indies,D Ramdin
info,player,West Indies,DJG Sammy
info,player,West Indies,DBL Powell
info,player,West Indies,FH Edwards
info,player,West Indies,AS Jaggernauth
info,registry,people,A Symonds,bd77eb62
info,registry,people,AS Jaggernauth,3df563bc
info,registry,people,Aleem Dar,f02778d1
info,registry,people,B Lee,dd09ff8e
info,registry,people,BA Parchment,d666d3a8
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,BJ Hodge,b57f8a9a
info,registry,people,CE Mack,ad90e4b8
info,registry,people,D Ramdin,d1523761
info,registry,people,DBL Powell,83904270
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJG Sammy,c03c6200
info,registry,people,DS Smith,85ad2217
info,registry,people,FH Edwards,a7c226e1
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,NA Malcolm,9514072e
info,registry,people,PA Jaques,03252e44
info,registry,people,RB Tiffin,89087a0d
info,registry,people,RR Sarwan,36d33dd0
info,registry,people,RS Mahanama,57910393
info,registry,people,RS Morton,2f8a9682
info,registry,people,RT Ponting,7d415ea5
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,SCG MacGill,60dac349
info,registry,people,SM Katich,fdedb37c
info,registry,people,SR Clark,a3bfec5d
