version,2.1.0
info,balls_per_over,6
info,team,India
info,team,South Africa
info,gender,male
info,season,2007/08
info,date,2008/04/11
info,date,2008/04/12
info,date,2008/04/13
info,event,South Africa in India Test Series
info,match_number,3
info,venue,Green Park
info,city,Kanpur
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,SC Ganguly
info,umpire,Asad Rauf
info,umpire,BR Doctrove
info,reserve_umpire,S Dua
info,tv_umpire,GA Pratapkumar
info,match_referee,RS Mahanama
info,winner,India
info,winner_wickets,8
info,player,India,W Jaffer
info,player,India,V Sehwag
info,player,India,R Dravid
info,player,India,VVS Laxman
info,player,India,SC Ganguly
info,player,India,Yuvraj Singh
info,player,India,MS Dhoni
info,player,India,Harbhajan Singh
info,player,India,PP Chawla
info,player,India,S Sreesanth
info,player,India,I Sharma
info,player,South Africa,ND McKenzie
info,player,South Africa,GC Smith
info,player,South Africa,HM Amla
info,player,South Africa,JH Kallis
info,player,South Africa,AG Prince
info,player,South Africa,AB de Villiers
info,player,South Africa,MV Boucher
info,player,South Africa,M Morkel
info,player,South Africa,PL Harris
info,player,South Africa,DW Steyn
info,player,South Africa,M Ntini
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AG Prince,035cb925
info,registry,people,Asad Rauf,861606b7
info,registry,people,BR Doctrove,cbebf805
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,GA Pratapkumar,cf7c5778
info,registry,people,GC Smith,72861603
info,registry,people,HM Amla,e798611a
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,M Kaif,d84378a4
info,registry,people,M Morkel,5bb5a915
info,registry,people,M Ntini,20a941bb
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,ND McKenzie,a830c083
info,registry,people,PL Harris,fd093ca9
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Dravid,0184dc35
info,registry,people,RS Mahanama,57910393
info,registry,people,S Dua,f1375866
info,registry,people,S Sreesanth,6b8eb6e5
info,registry,people,SC Ganguly,725529bc
info,registry,people,V Sehwag,8ba8195d
info,registry,people,VVS Laxman,de8cce37
info,registry,people,W Jaffer,619aa81f
info,registry,people,Yuvraj Singh,1c914163
