version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,South Africa
info,gender,male
info,season,2008/09
info,date,2008/12/26
info,date,2008/12/27
info,date,2008/12/28
info,date,2008/12/29
info,date,2008/12/30
info,event,South Africa in Australia Test Series
info,match_number,2
info,venue,Melbourne Cricket Ground
info,city,
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,DW Steyn
info,umpire,Aleem Dar
info,umpire,BR Doctrove
info,reserve_umpire,AP Ward
info,tv_umpire,BNJ Oxenford
info,match_referee,RS Madugalle
info,winner,South Africa
info,winner_wickets,9
info,player,Australia,ML Hayden
info,player,Australia,SM Katich
info,player,Australia,RT Ponting
info,player,Australia,MEK Hussey
info,player,Australia,MJ Clarke
info,player,Australia,A Symonds
info,player,Australia,BJ Haddin
info,player,Australia,B Lee
info,player,Australia,MG Johnson
info,player,Australia,NM Hauritz
info,player,Australia,PM Siddle
info,player,South Africa,GC Smith
info,player,South Africa,ND McKenzie
info,player,South Africa,HM Amla
info,player,South Africa,JH Kallis
info,player,South Africa,AB de Villiers
info,player,South Africa,JP Duminy
info,player,South Africa,MV Boucher
info,player,South Africa,M Morkel
info,player,South Africa,PL Harris
info,player,South Africa,DW Steyn
info,player,South Africa,M Ntini
info,registry,people,A Symonds,bd77eb62
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AP Ward,196a3809
info,registry,people,Aleem Dar,f02778d1
info,registry,people,B Lee,dd09ff8e
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,BR Doctrove,cbebf805
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,GC Smith,72861603
info,registry,people,HM Amla,e798611a
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,JP Duminy,2e8994e7
info,registry,people,M Morkel,5bb5a915
info,registry,people,M Ntini,20a941bb
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,ML Hayden,d8699ab7
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,ND McKenzie,a830c083
info,registry,people,NM Hauritz,8ea6e670
info,registry,people,PL Harris,fd093ca9
info,registry,people,PM Siddle,bd93fea4
info,registry,people,RS Madugalle,766b5798
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SM Katich,fdedb37c
