version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,India
info,gender,male
info,season,2010
info,date,2010/07/26
info,date,2010/07/27
info,date,2010/07/28
info,date,2010/07/29
info,date,2010/07/30
info,event,India in Sri Lanka Test Series
info,match_number,2
info,venue,Sinhalese Sports Club Ground
info,city,Colombo
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,KC Sangakkara
info,umpire,DJ Harper
info,umpire,RJ Tucker
info,reserve_umpire,RD Kottahachchi
info,tv_umpire,REJ Martinesz
info,match_referee,AJ Pycroft
info,outcome,draw
info,player,India,M Vijay
info,player,India,V Sehwag
info,player,India,R Dravid
info,player,India,SR Tendulkar
info,player,India,VVS Laxman
info,player,India,SK Raina
info,player,India,MS Dhoni
info,player,India,Harbhajan Singh
info,player,India,A Mithun
info,player,India,I Sharma
info,player,India,PP Ojha
info,player,Sri Lanka,NT Paranavitana
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,TT Samaraweera
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,HAPW Jayawardene
info,player,Sri Lanka,KTGD Prasad
info,player,Sri Lanka,CRD Fernando
info,player,Sri Lanka,S Randiv
info,player,Sri Lanka,BAW Mendis
info,registry,people,A Mithun,66cf56a5
info,registry,people,AD Mathews,896d78ad
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,BAW Mendis,ea0cdc12
info,registry,people,CRD Fernando,342d8ade
info,registry,people,DJ Harper,0ec08b27
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,HAPW Jayawardene,4a25c894
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KTGD Prasad,9b79b9de
info,registry,people,M Vijay,4b57e452
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,NT Paranavitana,200f2761
info,registry,people,PP Ojha,6c6591ab
info,registry,people,R Dravid,0184dc35
info,registry,people,RD Kottahachchi,92e41d14
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Randiv,f5f18a18
info,registry,people,SK Raina,1dc12ab9
info,registry,people,SR Tendulkar,d2c2b2d5
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,TT Samaraweera,2008fc75
info,registry,people,V Sehwag,8ba8195d
info,registry,people,VVS Laxman,de8cce37
