version,2.1.0
info,balls_per_over,6
info,team,India
info,team,Australia
info,gender,male
info,season,2010/11
info,date,2010/10/01
info,date,2010/10/02
info,date,2010/10/03
info,date,2010/10/04
info,date,2010/10/05
info,event,Border-Gavaskar Trophy
info,match_number,1
info,venue,"Punjab Cricket Association Stadium, Mohali"
info,city,Chandigarh
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,Z Khan
info,umpire,BF Bowden
info,umpire,IJ Gould
info,reserve_umpire,S Das
info,tv_umpire,SS Hazare
info,match_referee,BC Broad
info,winner,India
info,winner_wickets,1
info,player,Australia,SR Watson
info,player,Australia,SM Katich
info,player,Australia,RT Ponting
info,player,Australia,MJ Clarke
info,player,Australia,MEK Hussey
info,player,Australia,MJ North
info,player,Australia,TD Paine
info,player,Australia,MG Johnson
info,player,Australia,NM Hauritz
info,player,Australia,BW Hilfenhaus
info,player,Australia,DE Bollinger
info,player,India,G Gambhir
info,player,India,V Sehwag
info,player,India,R Dravid
info,player,India,I Sharma
info,player,India,SR Tendulkar
info,player,India,SK Raina
info,player,India,MS Dhoni
info,player,India,Harbhajan Singh
info,player,India,Z Khan
info,player,India,VVS Laxman
info,player,India,PP Ojha
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BF Bowden,efc0a862
info,registry,people,BW Hilfenhaus,f3171936
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,DE Bollinger,45c2196c
info,registry,people,G Gambhir,bb345e0b
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MJ North,99464591
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,NM Hauritz,8ea6e670
info,registry,people,PP Ojha,6c6591ab
info,registry,people,R Dravid,0184dc35
info,registry,people,RT Ponting,7d415ea5
info,registry,people,S Das,475e38b6
info,registry,people,SK Raina,1dc12ab9
info,registry,people,SM Katich,fdedb37c
info,registry,people,SR Tendulkar,d2c2b2d5
info,registry,people,SR Watson,4329fbb5
info,registry,people,SS Hazare,166e5081
info,registry,people,TD Paine,5748e866
info,registry,people,V Sehwag,8ba8195d
info,registry,people,VVS Laxman,de8cce37
info,registry,people,Z Khan,91a4a398
