version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Sri Lanka
info,gender,male
info,season,2011
info,date,2011/06/16
info,date,2011/06/17
info,date,2011/06/18
info,date,2011/06/19
info,date,2011/06/20
info,event,Sri Lanka in England Test Series
info,match_number,3
info,venue,The Rose Bowl
info,city,Southampton
info,toss_winner,England
info,toss_decision,field
info,player_of_match,CT Tremlett
info,umpire,Aleem Dar
info,umpire,RJ Tucker
info,reserve_umpire,NA Mallender
info,tv_umpire,BR Doctrove
info,match_referee,AG Hurst
info,outcome,draw
info,player,England,AJ Strauss
info,player,England,AN Cook
info,player,England,IJL Trott
info,player,England,KP Pietersen
info,player,England,IR Bell
info,player,England,JM Anderson
info,player,England,EJG Morgan
info,player,England,MJ Prior
info,player,England,SCJ Broad
info,player,England,GP Swann
info,player,England,CT Tremlett
info,player,Sri Lanka,NT Paranavitana
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,TT Samaraweera
info,player,Sri Lanka,HAPW Jayawardene
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,CRD Fernando
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,UWMBCA Welegedara
info,registry,people,AG Hurst,ad7945c6
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,AN Cook,f41598c1
info,registry,people,AP Rouse,46c5d4fb
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BR Doctrove,cbebf805
info,registry,people,CRD Fernando,342d8ade
info,registry,people,CT Tremlett,a72b14ff
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,GP Swann,221ad9d9
info,registry,people,HAPW Jayawardene,4a25c894
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,IR Bell,33155d1b
info,registry,people,JM Anderson,d12143bf
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,MJ Prior,1200550f
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,NT Paranavitana,200f2761
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Randiv,f5f18a18
info,registry,people,SCJ Broad,eba6a852
info,registry,people,TT Samaraweera,2008fc75
info,registry,people,UWMBCA Welegedara,dd37da14
