version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,Sri Lanka
info,gender,male
info,season,2011/12
info,date,2012/01/03
info,date,2012/01/04
info,date,2012/01/05
info,date,2012/01/06
info,event,Sri Lanka in South Africa Test Series
info,match_number,3
info,venue,Newlands
info,city,Cape Town
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,JH Kallis
info,umpire,RA Kettleborough
info,umpire,RJ Tucker
info,reserve_umpire,JD Cloete
info,tv_umpire,SJ Davis
info,match_referee,BC Broad
info,winner,South Africa
info,winner_wickets,10
info,player,South Africa,GC Smith
info,player,South Africa,AN Petersen
info,player,South Africa,HM Amla
info,player,South Africa,JH Kallis
info,player,South Africa,AB de Villiers
info,player,South Africa,JA Rudolph
info,player,South Africa,MV Boucher
info,player,South Africa,DW Steyn
info,player,South Africa,M Morkel
info,player,South Africa,Imran Tahir
info,player,South Africa,VD Philander
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,TT Samaraweera
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,KTGD Prasad
info,player,Sri Lanka,UWMBCA Welegedara
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AD Mathews,896d78ad
info,registry,people,AN Petersen,e01aafc1
info,registry,people,BC Broad,d6a7dd38
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,GC Smith,72861603
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,HM Amla,e798611a
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JA Rudolph,42537f07
info,registry,people,JD Cloete,b0419f8c
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KTGD Prasad,9b79b9de
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,M Morkel,5bb5a915
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RJ Tucker,38810cfc
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,TT Samaraweera,2008fc75
info,registry,people,UWMBCA Welegedara,dd37da14
info,registry,people,VD Philander,cfe70281
