version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Australia
info,gender,male
info,season,2011
info,date,2011/08/31
info,date,2011/09/01
info,date,2011/09/02
info,date,2011/09/03
info,event,Warne-Muralitharan Trophy
info,match_number,1
info,venue,Galle International Stadium
info,city,
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,MEK Hussey
info,umpire,Aleem Dar
info,umpire,RA Kettleborough
info,reserve_umpire,REJ Martinesz
info,tv_umpire,AL Hill
info,match_referee,BC Broad
info,winner,Australia
info,winner_runs,125
info,player,Australia,SR Watson
info,player,Australia,PJ Hughes
info,player,Australia,RT Ponting
info,player,Australia,MJ Clarke
info,player,Australia,MEK Hussey
info,player,Australia,UT Khawaja
info,player,Australia,BJ Haddin
info,player,Australia,MG Johnson
info,player,Australia,RJ Harris
info,player,Australia,TA Copeland
info,player,Australia,NM Lyon
info,player,Sri Lanka,NT Paranavitana
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,TT Samaraweera
info,player,Sri Lanka,HAPW Jayawardene
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,S Randiv
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,UWMBCA Welegedara
info,registry,people,AD Mathews,896d78ad
info,registry,people,AL Hill,4165ced0
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,HAPW Jayawardene,4a25c894
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,NT Paranavitana,200f2761
info,registry,people,PJ Hughes,004c9e85
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RJ Harris,12eddf28
info,registry,people,RT Ponting,7d415ea5
info,registry,people,S Randiv,f5f18a18
info,registry,people,SR Watson,4329fbb5
info,registry,people,TA Copeland,2c7ac4b9
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,TT Samaraweera,2008fc75
info,registry,people,UT Khawaja,331ea488
info,registry,people,UWMBCA Welegedara,dd37da14
