version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Pakistan
info,gender,male
info,season,2011/12
info,date,2012/01/25
info,date,2012/01/26
info,date,2012/01/27
info,date,2012/01/28
info,event,Pakistan v England Test Series
info,match_number,2
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Abdur Rehman
info,umpire,SJ Davis
info,umpire,BNJ Oxenford
info,reserve_umpire,Ahsan Raza
info,tv_umpire,BF Bowden
info,match_referee,J Srinath
info,winner,Pakistan
info,winner_runs,72
info,player,England,AJ Strauss
info,player,England,AN Cook
info,player,England,IJL Trott
info,player,England,KP Pietersen
info,player,England,IR Bell
info,player,England,EJG Morgan
info,player,England,MJ Prior
info,player,England,SCJ Broad
info,player,England,GP Swann
info,player,England,JM Anderson
info,player,England,MS Panesar
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Taufeeq Umar
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Adnan Akmal
info,player,Pakistan,Abdur Rehman
info,player,Pakistan,Saeed Ajmal
info,player,Pakistan,Umar Gul
info,player,Pakistan,Junaid Khan
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,AN Cook,f41598c1
info,registry,people,Abdur Rehman,d094e7d1
info,registry,people,Adnan Akmal,05da443b
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BF Bowden,efc0a862
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,GP Swann,221ad9d9
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,IR Bell,33155d1b
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Anderson,d12143bf
info,registry,people,Junaid Khan,086f5984
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,MJ Prior,1200550f
info,registry,people,MS Panesar,5a37ec26
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,Saeed Ajmal,05d74535
info,registry,people,Taufeeq Umar,c73bb037
info,registry,people,Umar Gul,16dfcc19
info,registry,people,Younis Khan,33cb3411
