version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,West Indies
info,gender,male
info,season,2011/12
info,date,2011/10/21
info,date,2011/10/22
info,date,2011/10/23
info,date,2011/10/24
info,date,2011/10/25
info,event,West Indies in Bangladesh Test Series
info,match_number,1
info,venue,Zahur Ahmed Chowdhury Stadium
info,city,Chittagong
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Elias Sunny
info,umpire,HDPK Dharmasena
info,umpire,NJ Llong
info,reserve_umpire,Sharfuddoula
info,tv_umpire,Enamul Haque
info,match_referee,AJ Pycroft
info,outcome,draw
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Imrul Kayes
info,player,Bangladesh,Shahriar Nafees
info,player,Bangladesh,Raqibul Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Naeem Islam
info,player,Bangladesh,Nasir Hossain
info,player,Bangladesh,Elias Sunny
info,player,Bangladesh,Shahadat Hossain
info,player,Bangladesh,Rubel Hossain
info,player,West Indies,LMP Simmons
info,player,West Indies,KC Brathwaite
info,player,West Indies,KA Edwards
info,player,West Indies,DM Bravo
info,player,West Indies,S Chanderpaul
info,player,West Indies,MN Samuels
info,player,West Indies,CS Baugh
info,player,West Indies,DJG Sammy
info,player,West Indies,R Rampaul
info,player,West Indies,FH Edwards
info,player,West Indies,D Bishoo
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,CS Baugh,151e8077
info,registry,people,D Bishoo,7a80ddf2
info,registry,people,DJG Sammy,c03c6200
info,registry,people,DM Bravo,14b14cd8
info,registry,people,Elias Sunny,817c1746
info,registry,people,Enamul Haque,2ae9be7f
info,registry,people,FH Edwards,a7c226e1
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Imrul Kayes,5fbe14fc
info,registry,people,KA Edwards,d06335fd
info,registry,people,KC Brathwaite,7d5af2ea
info,registry,people,LMP Simmons,89f64c19
info,registry,people,MN Samuels,f846de6a
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NJ Llong,573fb985
info,registry,people,Naeem Islam,02e83ac5
info,registry,people,Nasir Hossain,6eea0b32
info,registry,people,R Rampaul,d68e7f48
info,registry,people,Raqibul Hasan,17efdeb8
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,Shahadat Hossain,090f9211
info,registry,people,Shahriar Nafees,b9c225c2
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Tamim Iqbal,3b041a12
