version,2.1.0
info,balls_per_over,6
info,team,India
info,team,West Indies
info,gender,male
info,season,2011/12
info,date,2011/11/22
info,date,2011/11/23
info,date,2011/11/24
info,date,2011/11/25
info,date,2011/11/26
info,event,West Indies in India Test Series
info,match_number,3
info,venue,Wankhede Stadium
info,city,Mumbai
info,toss_winner,West Indies
info,toss_decision,bat
info,player_of_match,R Ashwin
info,umpire,AL Hill
info,umpire,BNJ Oxenford
info,reserve_umpire,S Ravi
info,tv_umpire,SK Tarapore
info,match_referee,DC Boon
info,outcome,draw
info,player,India,G Gambhir
info,player,India,V Sehwag
info,player,India,R Dravid
info,player,India,SR Tendulkar
info,player,India,VVS Laxman
info,player,India,V Kohli
info,player,India,MS Dhoni
info,player,India,R Ashwin
info,player,India,I Sharma
info,player,India,VR Aaron
info,player,India,PP Ojha
info,player,West Indies,AB Barath
info,player,West Indies,KC Brathwaite
info,player,West Indies,KA Edwards
info,player,West Indies,DM Bravo
info,player,West Indies,KOA Powell
info,player,West Indies,MN Samuels
info,player,West Indies,CS Baugh
info,player,West Indies,DJG Sammy
info,player,West Indies,R Rampaul
info,player,West Indies,FH Edwards
info,player,West Indies,D Bishoo
info,registry,people,AB Barath,d3a3e82d
info,registry,people,AL Hill,4165ced0
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CS Baugh,151e8077
info,registry,people,D Bishoo,7a80ddf2
info,registry,people,D Ramdin,d1523761
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJG Sammy,c03c6200
info,registry,people,DM Bravo,14b14cd8
info,registry,people,FH Edwards,a7c226e1
info,registry,people,G Gambhir,bb345e0b
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,KA Edwards,d06335fd
info,registry,people,KC Brathwaite,7d5af2ea
info,registry,people,KOA Powell,e012ad13
info,registry,people,MN Samuels,f846de6a
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,PP Ojha,6c6591ab
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Dravid,0184dc35
info,registry,people,R Rampaul,d68e7f48
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SK Tarapore,62a824b4
info,registry,people,SR Tendulkar,d2c2b2d5
info,registry,people,V Kohli,ba607b88
info,registry,people,V Sehwag,8ba8195d
info,registry,people,VR Aaron,0a3d54b9
info,registry,people,VVS Laxman,de8cce37
