version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Australia
info,gender,male
info,season,2015
info,date,2015/08/06
info,date,2015/08/07
info,date,2015/08/08
info,event,The Ashes
info,match_number,4
info,venue,Trent Bridge
info,city,Nottingham
info,toss_winner,England
info,toss_decision,field
info,player_of_match,SCJ Broad
info,umpire,Aleem Dar
info,umpire,S Ravi
info,reserve_umpire,RT Robinson
info,tv_umpire,M Erasmus
info,match_referee,RS Madugalle
info,winner,England
info,winner_innings,1
info,winner_runs,78
info,player,Australia,CJL Rogers
info,player,Australia,DA Warner
info,player,Australia,SPD Smith
info,player,Australia,SE Marsh
info,player,Australia,MJ Clarke
info,player,Australia,AC Voges
info,player,Australia,PM Nevill
info,player,Australia,MG Johnson
info,player,Australia,MA Starc
info,player,Australia,JR Hazlewood
info,player,Australia,NM Lyon
info,player,England,A Lyth
info,player,England,AN Cook
info,player,England,IR Bell
info,player,England,JE Root
info,player,England,JM Bairstow
info,player,England,MA Wood
info,player,England,BA Stokes
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,SCJ Broad
info,player,England,ST Finn
info,registry,people,A Lyth,70b8fd28
info,registry,people,AC Voges,864c199e
info,registry,people,AN Cook,f41598c1
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BA Stokes,e087956b
info,registry,people,CJL Rogers,d8360178
info,registry,people,DA Warner,dcce6f09
info,registry,people,IR Bell,33155d1b
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,M Erasmus,15d3c895
info,registry,people,MA Starc,3fb19989
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MM Ali,bb351c23
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,PM Nevill,a22fb7b5
info,registry,people,RS Madugalle,766b5798
info,registry,people,RT Robinson,b143c87d
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SE Marsh,508a1ea7
info,registry,people,SPD Smith,30a45b23
info,registry,people,ST Finn,ccdd8308
