version,2.1.0
info,balls_per_over,6
info,team,West Indies
info,team,England
info,gender,male
info,season,2015
info,date,2015/05/01
info,date,2015/05/02
info,date,2015/05/03
info,event,The Wisden Trophy
info,match_number,3
info,venue,"Kensington Oval, Bridgetown"
info,city,Barbados
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,J Blackwood
info,umpire,BF Bowden
info,umpire,BNJ Oxenford
info,reserve_umpire,GO Brathwaite
info,tv_umpire,SJ Davis
info,match_referee,AJ Pycroft
info,winner,West Indies
info,winner_wickets,5
info,player,England,AN Cook
info,player,England,IJL Trott
info,player,England,GS Ballance
info,player,England,IR Bell
info,player,England,JE Root
info,player,England,MM Ali
info,player,England,BA Stokes
info,player,England,JC Buttler
info,player,England,CJ Jordan
info,player,England,SCJ Broad
info,player,England,JM Anderson
info,player,West Indies,KC Brathwaite
info,player,West Indies,SD Hope
info,player,West Indies,DM Bravo
info,player,West Indies,MN Samuels
info,player,West Indies,S Chanderpaul
info,player,West Indies,J Blackwood
info,player,West Indies,D Ramdin
info,player,West Indies,JO Holder
info,player,West Indies,V Permaul
info,player,West Indies,JE Taylor
info,player,West Indies,ST Gabriel
info,registry,people,A Lyth,70b8fd28
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AN Cook,f41598c1
info,registry,people,BA Stokes,e087956b
info,registry,people,BF Bowden,efc0a862
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,D Ramdin,d1523761
info,registry,people,DM Bravo,14b14cd8
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,GS Ballance,755a77c6
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,IR Bell,33155d1b
info,registry,people,J Blackwood,c3b93a03
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JE Taylor,4180d897
info,registry,people,JM Anderson,d12143bf
info,registry,people,JO Holder,0f721006
info,registry,people,KC Brathwaite,7d5af2ea
info,registry,people,MM Ali,bb351c23
info,registry,people,MN Samuels,f846de6a
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,ST Gabriel,d9609443
info,registry,people,V Permaul,78dfe704
