version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,India
info,gender,male
info,season,2015
info,date,2015/08/20
info,date,2015/08/21
info,date,2015/08/22
info,date,2015/08/23
info,date,2015/08/24
info,event,India in Sri Lanka Test Series
info,match_number,2
info,venue,P Sara Oval
info,city,Colombo
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,KL Rahul
info,umpire,BNJ Oxenford
info,umpire,RJ Tucker
info,reserve_umpire,REJ Martinesz
info,tv_umpire,RSA Palliyaguruge
info,match_referee,AJ Pycroft
info,winner,India
info,winner_runs,278
info,player,India,M Vijay
info,player,India,KL Rahul
info,player,India,AM Rahane
info,player,India,V Kohli
info,player,India,RG Sharma
info,player,India,STR Binny
info,player,India,WP Saha
info,player,India,R Ashwin
info,player,India,A Mishra
info,player,India,I Sharma
info,player,India,UT Yadav
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,JK Silva
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,J Mubarak
info,player,Sri Lanka,KTGD Prasad
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,PHT Kaushal
info,player,Sri Lanka,PVD Chameera
info,registry,people,A Mishra,6b19d823
info,registry,people,AD Mathews,896d78ad
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AM Rahane,29e95537
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Mubarak,a9520ac2
info,registry,people,JK Silva,52f7299a
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KTGD Prasad,9b79b9de
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,M Vijay,4b57e452
info,registry,people,PHT Kaushal,ef6aea67
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Ashwin,495d42a5
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,STR Binny,bd17b45f
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,WP Saha,fe11caa6
