version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Pakistan
info,gender,male
info,season,2016
info,date,2016/07/14
info,date,2016/07/15
info,date,2016/07/16
info,date,2016/07/17
info,event,Pakistan in England Test Series
info,match_number,1
info,venue,Lord's
info,city,London
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Yasir Shah
info,umpire,HDPK Dharmasena
info,umpire,JS Wilson
info,reserve_umpire,RT Robinson
info,tv_umpire,RJ Tucker
info,match_referee,RB Richardson
info,winner,Pakistan
info,winner_runs,75
info,player,England,AN Cook
info,player,England,AD Hales
info,player,England,JE Root
info,player,England,JM Vince
info,player,England,GS Ballance
info,player,England,JM Bairstow
info,player,England,MM Ali
info,player,England,CR Woakes
info,player,England,SCJ Broad
info,player,England,ST Finn
info,player,England,JT Ball
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Shan Masood
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Rahat Ali
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Wahab Riaz
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Yasir Shah
info,registry,people,AD Hales,92aeac25
info,registry,people,AN Cook,f41598c1
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,CR Woakes,4c5d73db
info,registry,people,GS Ballance,755a77c6
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JE Root,a343262c
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Vince,a15618fe
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,MM Ali,bb351c23
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,RB Richardson,410e2f12
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RT Robinson,b143c87d
info,registry,people,Rahat Ali,a63775d6
info,registry,people,SCJ Broad,eba6a852
info,registry,people,ST Finn,ccdd8308
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Shan Masood,6843a783
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Yasir Shah,f2800ef3
info,registry,people,Younis Khan,33cb3411
