version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Pakistan
info,gender,male
info,season,2016
info,date,2016/08/03
info,date,2016/08/04
info,date,2016/08/05
info,date,2016/08/06
info,date,2016/08/07
info,event,Pakistan in England Test Series
info,match_number,3
info,venue,Edgbaston
info,city,Birmingham
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,MM Ali
info,umpire,BNJ Oxenford
info,umpire,JS Wilson
info,reserve_umpire,JW Lloyds
info,tv_umpire,HDPK Dharmasena
info,match_referee,RB Richardson
info,winner,England
info,winner_runs,141
info,player,England,AN Cook
info,player,England,AD Hales
info,player,England,JE Root
info,player,England,JM Vince
info,player,England,GS Ballance
info,player,England,JM Bairstow
info,player,England,MM Ali
info,player,England,CR Woakes
info,player,England,SCJ Broad
info,player,England,ST Finn
info,player,England,JM Anderson
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Sami Aslam
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Yasir Shah
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Sohail Khan
info,player,Pakistan,Rahat Ali
info,registry,people,AD Hales,92aeac25
info,registry,people,AN Cook,f41598c1
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CR Woakes,4c5d73db
info,registry,people,GS Ballance,755a77c6
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JE Root,a343262c
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Vince,a15618fe
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,JW Lloyds,112b8472
info,registry,people,MM Ali,bb351c23
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,RB Richardson,410e2f12
info,registry,people,Rahat Ali,a63775d6
info,registry,people,SCJ Broad,eba6a852
info,registry,people,ST Finn,ccdd8308
info,registry,people,Sami Aslam,96a2336e
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Sohail Khan,5af743d0
info,registry,people,Yasir Shah,f2800ef3
info,registry,people,Younis Khan,33cb3411
