version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Pakistan
info,gender,male
info,season,2016
info,date,2016/08/11
info,date,2016/08/12
info,date,2016/08/13
info,date,2016/08/14
info,event,Pakistan in England Test Series
info,match_number,4
info,venue,Kennington Oval
info,city,London
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,Younis Khan
info,umpire,M Erasmus
info,umpire,BNJ Oxenford
info,reserve_umpire,RJ Bailey
info,tv_umpire,JS Wilson
info,match_referee,RB Richardson
info,winner,Pakistan
info,winner_wickets,10
info,player,England,AN Cook
info,player,England,AD Hales
info,player,England,JE Root
info,player,England,JM Vince
info,player,England,GS Ballance
info,player,England,JM Bairstow
info,player,England,MM Ali
info,player,England,CR Woakes
info,player,England,SCJ Broad
info,player,England,ST Finn
info,player,England,JM Anderson
info,player,Pakistan,Sami Aslam
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Yasir Shah
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Wahab Riaz
info,player,Pakistan,Mohammad Amir
info,player,Pakistan,Sohail Khan
info,registry,people,AD Hales,92aeac25
info,registry,people,AN Cook,f41598c1
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CR Woakes,4c5d73db
info,registry,people,GS Ballance,755a77c6
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,JE Root,a343262c
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Vince,a15618fe
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,M Erasmus,15d3c895
info,registry,people,MM Ali,bb351c23
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,RB Richardson,410e2f12
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,SCJ Broad,eba6a852
info,registry,people,ST Finn,ccdd8308
info,registry,people,Sami Aslam,96a2336e
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Sohail Khan,5af743d0
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Yasir Shah,f2800ef3
info,registry,people,Younis Khan,33cb3411
