version,2.1.0
info,balls_per_over,6
info,team,New Zealand
info,team,Australia
info,gender,male
info,season,2015/16
info,date,2016/02/20
info,date,2016/02/21
info,date,2016/02/22
info,date,2016/02/23
info,date,2016/02/24
info,event,Trans-Tasman Trophy
info,match_number,2
info,venue,Hagley Oval
info,city,Christchurch
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,JA Burns
info,umpire,RA Kettleborough
info,umpire,REJ Martinesz
info,reserve_umpire,DJ Walker
info,tv_umpire,RK Illingworth
info,match_referee,BC Broad
info,winner,Australia
info,winner_wickets,7
info,player,Australia,DA Warner
info,player,Australia,JA Burns
info,player,Australia,UT Khawaja
info,player,Australia,SPD Smith
info,player,Australia,AC Voges
info,player,Australia,NM Lyon
info,player,Australia,MR Marsh
info,player,Australia,PM Nevill
info,player,Australia,JL Pattinson
info,player,Australia,JR Hazlewood
info,player,Australia,JM Bird
info,player,New Zealand,MJ Guptill
info,player,New Zealand,TWM Latham
info,player,New Zealand,KS Williamson
info,player,New Zealand,HM Nicholls
info,player,New Zealand,BB McCullum
info,player,New Zealand,CJ Anderson
info,player,New Zealand,BJ Watling
info,player,New Zealand,TG Southee
info,player,New Zealand,MJ Henry
info,player,New Zealand,N Wagner
info,player,New Zealand,TA Boult
info,registry,people,AC Voges,864c199e
info,registry,people,BB McCullum,b8a55852
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BJ Watling,928670cc
info,registry,people,CJ Anderson,8abdf100
info,registry,people,DA Warner,dcce6f09
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,HM Nicholls,03521fd3
info,registry,people,JA Burns,7a5f232a
info,registry,people,JL Pattinson,f752db61
info,registry,people,JM Bird,bc773eeb
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KS Williamson,d027ba9f
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,N Wagner,78adc879
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,PM Nevill,a22fb7b5
info,registry,people,RA Kettleborough,4017868f
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RK Illingworth,20672246
info,registry,people,SPD Smith,30a45b23
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
info,registry,people,TWM Latham,e824e6ee
info,registry,people,UT Khawaja,331ea488
