,year,month,team,ranking,rating
0,2004,JANUARY,Australia,1,125.0
1,2004,JANUARY,South Africa,2,113.0
2,2004,JANUARY,Pakistan,3,102.0
3,2004,JANUARY,England,4,101.0
4,2004,JANUARY,India,5,100.0
5,2004,JANUARY,New Zealand,6,100.0
6,2004,JANUARY,Sri Lanka,7,96.0
7,2004,JANUARY,West Indies,8,82.0
8,2004,JANUARY,Zimbabwe,9,56.0
9,2004,JANUARY,Bangladesh,10,0.0
10,2004,FEBRUARY,Australia,1,125.0
11,2004,FEBRUARY,South Africa,2,113.0
12,2004,FEBRUARY,Pakistan,3,102.0
13,2004,FEBRUARY,England,4,101.0
14,2004,FEBRUARY,India,5,100.0
15,2004,FEBRUARY,New Zealand,6,100.0
16,2004,FEBRUARY,Sri Lanka,7,96.0
17,2004,FEBRUARY,West Indies,8,82.0
18,2004,FEBRUARY,Zimbabwe,9,56.0
19,2004,FEBRUARY,Bangladesh,10,0.0
20,2004,MARCH,Australia,1,127.0
21,2004,MARCH,South Africa,2,112.0
22,2004,MARCH,Pakistan,3,102.0
23,2004,MARCH,New Zealand,4,101.0
24,2004,MARCH,England,5,101.0
25,2004,MARCH,India,6,100.0
26,2004,MARCH,Sri Lanka,7,94.0
27,2004,MARCH,West Indies,8,82.0
28,2004,MARCH,Zimbabwe,9,55.0
29,2004,MARCH,Bangladesh,10,1.0
30,2004,APRIL,Australia,1,127.0
31,2004,APRIL,South Africa,2,112.0
32,2004,APRIL,England,3,103.0
33,2004,APRIL,India,4,102.0
34,2004,APRIL,New Zealand,5,101.0
35,2004,APRIL,Pakistan,6,99.0
36,2004,APRIL,Sri Lanka,7,94.0
37,2004,APRIL,West Indies,8,80.0
38,2004,APRIL,Zimbabwe,9,55.0
39,2004,APRIL,Bangladesh,10,1.0
40,2004,MAY,Australia,1,127.0
41,2004,MAY,South Africa,2,112.0
42,2004,MAY,England,3,103.0
43,2004,MAY,India,4,102.0
44,2004,MAY,New Zealand,5,101.0
45,2004,MAY,Pakistan,6,99.0
46,2004,MAY,Sri Lanka,7,94.0
47,2004,MAY,West Indies,8,80.0
48,2004,MAY,Zimbabwe,9,55.0
49,2004,MAY,Bangladesh,10,1.0
50,2004,JUNE,Australia,1,127.0
51,2004,JUNE,South Africa,2,112.0
52,2004,JUNE,England,3,107.0
53,2004,JUNE,India,4,102.0
54,2004,JUNE,Pakistan,5,99.0
55,2004,JUNE,New Zealand,6,96.0
56,2004,JUNE,Sri Lanka,7,94.0
57,2004,JUNE,West Indies,8,79.0
58,2004,JUNE,Zimbabwe,9,54.0
59,2004,JUNE,Bangladesh,10,1.0
60,2004,JULY,Australia,1,127.0
61,2004,JULY,South Africa,2,112.0
62,2004,JULY,England,3,107.0
63,2004,JULY,India,4,102.0
64,2004,JULY,Pakistan,5,99.0
65,2004,JULY,New Zealand,6,96.0
66,2004,JULY,Sri Lanka,7,94.0
67,2004,JULY,West Indies,8,79.0
68,2004,JULY,Zimbabwe,9,54.0
69,2004,JULY,Bangladesh,10,1.0
70,2004,AUGUST,Australia,1,129.0
